pitch mph = 73, targetY = 1.7, endY = 0.64
pitch mph = 73, targetY = 1.7, endY = 0.57
pitch mph = 73, targetY = 1.7, endY = 0.50
pitch mph = 73, targetY = 1.8, endY = 0.74
pitch mph = 73, targetY = 1.8, endY = 0.67
pitch mph = 73, targetY = 1.8, endY = 0.61
pitch mph = 73, targetY = 1.8, endY = 0.54
pitch mph = 73, targetY = 1.9, endY = 0.84
pitch mph = 73, targetY = 1.9, endY = 0.77
pitch mph = 73, targetY = 1.9, endY = 0.71
pitch mph = 73, targetY = 1.9, endY = 0.64
pitch mph = 73, targetY = 2, endY = 0.94
pitch mph = 73, targetY = 2, endY = 0.88
pitch mph = 73, targetY = 2, endY = 0.81
pitch mph = 73, targetY = 2, endY = 0.75
pitch mph = 73, targetY = 2.1, endY = 1.03
pitch mph = 73, targetY = 2.1, endY = 0.98
pitch mph = 73, targetY = 2.1, endY = 0.91
pitch mph = 73, targetY = 2.1, endY = 0.85
pitch mph = 73, targetY = 2.2, endY = 1.13
pitch mph = 73, targetY = 2.2, endY = 1.08
pitch mph = 73, targetY = 2.2, endY = 1.02
pitch mph = 73, targetY = 2.2, endY = 0.96
pitch mph = 73, targetY = 2.3, endY = 1.18
pitch mph = 73, targetY = 2.3, endY = 1.12
pitch mph = 73, targetY = 2.3, endY = 1.06
pitch mph = 73, targetY = 2.4, endY = 1.17
pitch mph = 74, targetY = 1.6, endY = 0.55
pitch mph = 74, targetY = 1.6, endY = 0.48
pitch mph = 74, targetY = 1.7, endY = 0.65
pitch mph = 74, targetY = 1.7, endY = 0.58
pitch mph = 74, targetY = 1.7, endY = 0.51
pitch mph = 74, targetY = 1.8, endY = 0.75
pitch mph = 74, targetY = 1.8, endY = 0.68
pitch mph = 74, targetY = 1.8, endY = 0.61
pitch mph = 74, targetY = 1.8, endY = 0.54
pitch mph = 74, targetY = 1.9, endY = 0.84
pitch mph = 74, targetY = 1.9, endY = 0.78
pitch mph = 74, targetY = 1.9, endY = 0.71
pitch mph = 74, targetY = 1.9, endY = 0.65
pitch mph = 74, targetY = 2, endY = 0.94
pitch mph = 74, targetY = 2, endY = 0.88
pitch mph = 74, targetY = 2, endY = 0.82
pitch mph = 74, targetY = 2, endY = 0.75
pitch mph = 74, targetY = 2.1, endY = 1.04
pitch mph = 74, targetY = 2.1, endY = 0.98
pitch mph = 74, targetY = 2.1, endY = 0.92
pitch mph = 74, targetY = 2.1, endY = 0.86
pitch mph = 74, targetY = 2.2, endY = 1.14
pitch mph = 74, targetY = 2.2, endY = 1.09
pitch mph = 74, targetY = 2.2, endY = 1.03
